Tweet ID,Tweet URL,Tweet Type,Media Type,Media URL,Media Alt Text
1457451759304126471,https://twitter.com/reda_getachew/status/1457451759304126471,Tweet,photo,https://pbs.twimg.com/media/FDnooZLXIAUUOT4.jpg,""
1456586923074592770,https://twitter.com/reda_getachew/status/1456586923074592770,Tweet,photo,https://pbs.twimg.com/media/FDbWDjUWQAcOR82.jpg,""
1453684555278426116,https://twitter.com/reda_getachew/status/1453684555278426116,Tweet,photo,https://pbs.twimg.com/media/FCyGAk3XIAQtKKA.jpg,""
1453684555278426116,https://twitter.com/reda_getachew/status/1453684555278426116,Tweet,photo,https://pbs.twimg.com/media/FCyGAk7XoAMygUo.jpg,""
1453684555278426116,https://twitter.com/reda_getachew/status/1453684555278426116,Tweet,photo,https://pbs.twimg.com/media/FCyGAk6XsAA3RXa.jpg,""
1450749228498706435,https://twitter.com/reda_getachew/status/1450749228498706435,Tweet,photo,https://pbs.twimg.com/media/FCIYRNXWUAE4p--.jpg,""
1447496204275916803,https://twitter.com/reda_getachew/status/1447496204275916803,Tweet,photo,https://pbs.twimg.com/media/FBaJ7BZX0AMJKce.jpg,""
1447496204275916803,https://twitter.com/reda_getachew/status/1447496204275916803,Tweet,photo,https://pbs.twimg.com/media/FBaJ7BWXoAMDMI1.jpg,""
1443945493969649667,https://twitter.com/reda_getachew/status/1443945493969649667,Tweet,photo,https://pbs.twimg.com/media/FAnsuWRX0AQDsdG.jpg,""
1443945493969649667,https://twitter.com/reda_getachew/status/1443945493969649667,Tweet,photo,https://pbs.twimg.com/media/FAnsuWVWUAAUGY6.jpg,""
1440800812083544064,https://twitter.com/reda_getachew/status/1440800812083544064,Tweet,photo,https://pbs.twimg.com/media/E_7AnwqVkAUJF9D.jpg,""
1440800812083544064,https://twitter.com/reda_getachew/status/1440800812083544064,Tweet,photo,https://pbs.twimg.com/media/E_7AnwvUYA0OoPR.jpg,""
1439295437358444544,https://twitter.com/reda_getachew/status/1439295437358444544,Reply,photo,https://pbs.twimg.com/media/E_lniKQWEAs2SPd.jpg,""
1439295386083074060,https://twitter.com/reda_getachew/status/1439295386083074060,Reply,photo,https://pbs.twimg.com/media/E_lnQkuWQA8y1Gw.jpg,""
