tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,mentions,hashtags
https://twitter.com/SahleWorkZewde/status/712411476892508161,2016-03-22T22:51:46.000Z,"Ambassadeur en herbe Afr Est/Sud, au Bureau ONU Nairobi, clôture amb/France ,bcp de talent chez ces futurs leaders. https://t.co/uZflqYkqWc",0,0,0,0,0,,
https://twitter.com/SahleWorkZewde/status/712023184502071296,2016-03-21T21:08:50.000Z,"Intl Day Elimination Racial Discrimination:more needed in tackling racism,afrophobia,racial discrimination,xenophobia &amp; related intolerance.",2,1,2,0,0,,
https://twitter.com/SahleWorkZewde/status/711851055395545088,2016-03-21T09:44:51.000Z,Congrats dear colleague @DKAMBinEgypt for taking up this challenging position. Gain for the UN. https://t.co/vjeHoMoTmn,0,2,1,0,0,DKAMBinEgypt,
https://twitter.com/SahleWorkZewde/status/711845047881302016,2016-03-21T09:20:59.000Z,RT @UN_Spokesperson: #UNSG Ban Ki-moon on release of Djiboutian prisoners in #Eritrea: https://t.co/LEiNE8dLln,27,0,0,0,0,UN_Spokesperson,"UNSG,Eritrea"
https://twitter.com/SahleWorkZewde/status/711528306290589697,2016-03-20T12:22:22.000Z,RT @UN_Women: Want to make the women of the world happy? Let them have a say in decisions that affect them. #HappinessDay https://t.co/YuQm…,656,0,0,0,0,UN_Women,HappinessDay
https://twitter.com/SahleWorkZewde/status/710624787442372608,2016-03-18T00:32:06.000Z,RT @UN_Women: “Investment in the women’s movement will be important indicator to show how serious govnmnts are about #globalgoals”-@phumzil…,94,0,0,0,0,UN_Women,globalgoals
https://twitter.com/SahleWorkZewde/status/710391241322668032,2016-03-17T09:04:05.000Z,"RT @UN: In every region, men are still much more likely to be employed than women - @ILO on #CSW60 https://t.co/6tdfN9AJuM https://t.co/Uxi…",219,0,0,0,0,"UN,ilo",CSW60
https://twitter.com/SahleWorkZewde/status/710391056299401216,2016-03-17T09:03:20.000Z,"RT @UN: Across all regions, women are paid less than men. Watch #EqualPay event live now: https://t.co/JXtv5m7Yyr #CSW60 https://t.co/KDCRJ…",295,0,0,0,0,UN,"EqualPay,CSW60"
https://twitter.com/SahleWorkZewde/status/709845082090905600,2016-03-15T20:53:50.000Z,RT @HelenClarkUNDP: Looking forward 2 hearing of outcomes of discussion on #EndExtremism discussion @UNDPOGC this week. @MartinezSoliman ht…,22,0,0,0,0,"HelenClarkUNDP,UNDPOGC,MartinezSoliman",EndExtremism
https://twitter.com/SahleWorkZewde/status/709844801596821504,2016-03-15T20:52:43.000Z,RT @UNEP: February breaks global temperature records with temperatures 1.35C warmer than average for the month: https://t.co/Cz9aBKB4S9 #Cl…,118,0,0,0,0,UNEP,
https://twitter.com/SahleWorkZewde/status/709823793989066752,2016-03-15T19:29:15.000Z,With Mr Mogens Lykketoft President UNGA @UN_PGA when I called on him in NY. Hope to see him soon inNBO @unicnairobi https://t.co/o1iI5Ht5Rl,2,1,2,0,0,"UN_PGA,unicnairobi",
https://twitter.com/SahleWorkZewde/status/709487098722721793,2016-03-14T21:11:20.000Z,RT @UNDPAfrica: .@HelenClarkUNDP tells what it will take to fulfill #Agenda2030 https://t.co/CQDCA8kzhA @UNDP #SDGs #GlobalGoals #ClimateCh…,20,0,0,0,0,"UNDPAfrica,HelenClarkUNDP,UNDP","Agenda2030,SDGs,GlobalGoals"
https://twitter.com/SahleWorkZewde/status/709486221991477248,2016-03-14T21:07:51.000Z,"RT @UN: 70 years of empowering women! Ahead of this week's #CSW60, see this @un_CSW interactive timeline: https://t.co/EWZnyGgRVk",738,0,0,0,0,"UN,UN_CSW",CSW60
https://twitter.com/SahleWorkZewde/status/709486125220564993,2016-03-14T21:07:28.000Z,RT @UN_CSW: Ministers from around the world at #CSW60 discussing now financing for gender equality &amp; #Planet5050. Webcast: https://t.co/tIP…,16,0,0,0,0,UN_CSW,"CSW60,Planet5050"
https://twitter.com/SahleWorkZewde/status/709319667035348996,2016-03-14T10:06:01.000Z,RT @allafrica: Starting today: #Rwanda hosts inaugural African Transformation Forum #ATF2016 14-15 March https://t.co/wJH0iri7H8 &amp; https://…,14,0,0,0,0,allafrica,"Rwanda,ATF2016"
https://twitter.com/SahleWorkZewde/status/709313690563121152,2016-03-14T09:42:16.000Z,RT @UN_Spokesperson: Ban Ki-moon stands with the ppl of #cotedivoire &amp; condemns today's terrorist attacks https://t.co/2Vh4qKpA11 @ONUCINFO,72,0,0,0,0,"UN_Spokesperson,ONUCINFO",cotedivoire
https://twitter.com/SahleWorkZewde/status/707684524726075393,2016-03-09T21:48:33.000Z,"RT @ianbremmer: Where women are the majority in Parliament: Rwanda, Bolivia https://t.co/ItDX2lepHm",298,0,0,0,0,ianbremmer,
https://twitter.com/SahleWorkZewde/status/707681323683545089,2016-03-09T21:35:50.000Z,RT @UN_PGA: We could step up by appointing 1. female #UNSG -glass ceiling for women for 70yrs! https://t.co/YTXAe5zDMn #IWD2016 https://t.c…,25,0,0,0,0,UN_PGA,"UNSG,IWD2016"
https://twitter.com/SahleWorkZewde/status/706961741792546817,2016-03-07T21:56:28.000Z,"RT @UN_Women: ""To arrive at the future we want, we cannot leave anyone behind."" -ED @phumzileunwomen on #IWD2016: https://t.co/jkmrt1bjXM #…",75,0,0,0,0,UN_Women,
https://twitter.com/SahleWorkZewde/status/706960467193888769,2016-03-07T21:51:24.000Z,I said rather than behind it's 'next to every successful man..etc'@LGachungi @FirstLadyKenya @UNESCO @UN_Women @UNWomenWatch @unwomenafrica,1,0,2,0,0,"LGachungi,FirstLadyKenya,UNESCO,UN_Women,UNWomenWatch,unwomenafrica",
https://twitter.com/SahleWorkZewde/status/706954861200482304,2016-03-07T21:29:08.000Z,RT @USEmbassyKenya: Amb @BobGodec @ the 15th annual #KenyaModel @UN #KMUN  Conference for university students from across East Africa. http…,14,0,0,0,0,"USEmbassyKenya,BobGodec,UN","KenyaModel,KMUN"
https://twitter.com/SahleWorkZewde/status/706764738638823424,2016-03-07T08:53:39.000Z,RT @inaxusein: @UnonDg introducing US Ambassador @BobGodec to #kenya @modelun at @UN HQ Gigiri @kanhema @unicnairobi @unvisitorsnbi https:/…,2,0,0,0,0,inaxusein,
