tweet_link,created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,mentions,hashtags
https://twitter.com/yilkal_kefale/status/1557822945627701254,2022-08-11T20:15:07.000Z,https://t.co/VsQJGwmR8Z,56,22,191,3,0,,
https://twitter.com/yilkal_kefale/status/1557481837332758530,2022-08-10T21:39:41.000Z,የመርሐ ጋርመንት ፋብሪካ እያደረገ ያለው ጥረት አበረታች ነው። በከፍተኛ የውጭ ምንዛሬ ወደ ሀገር ውስጥ የሚገቡ አልባሳት ምርቶችን ለመተካት እያደረገ ያለው ጥረት መልካም ነው። https://t.co/O1HPZi8vc7,23,0,136,3,0,,
https://twitter.com/yilkal_kefale/status/1555158814424547328,2022-08-04T11:48:49.000Z,"የራያ ባህል ማዕከል ማንነትና ጥበብ የሚንጸባረቅበት ነው።

በቆቦ ከተማ በሽብር ቡድኑ የወደሙ ተቋማትን በዛሬው እለት ተመልክተናል። ሽብርተኛው ቡድን የራያ ህዝብ በሚገለገልባቸው ተቋማት እና መሰረተ ልማቶች ላይ ከፍተኛ ጉዳት አድርሷል። https://t.co/4ACqiJDGQD",14,0,63,1,0,,
https://twitter.com/yilkal_kefale/status/1554762610314190849,2022-08-03T09:34:27.000Z,"የትምህርት ስርዓት ውጤታማ አድርጎ ለመምራት የሥራ ባህል ለውጥ ማምጣት ይገባል።

የአሸባሪው ህወሃት ወረራ ከተቀለበሰ በኋላ የትምህርት ተቋማትን  ወደ ሥራ ለማስገባት የተከናወነው ተግባር በበርካት ፈተናወች የተሞላ ነበር።🇪🇹🇪🇹🇪🇹 https://t.co/yXLfuYu5u6",16,0,84,3,0,,
https://twitter.com/yilkal_kefale/status/1554557883664269316,2022-08-02T20:00:56.000Z,"በዛሬው እለት በሰሜን ወሎ ዞን ራያ ቆቦ ወረዳ በኦፍላ ተራሮች የ4ኛው ዙር የአረንጓዴ አሻራ መርሃግብር አካል የሆነውን የችግኝ ተከላ አከናውነናል።
የራያ ህዝብ በጀግንነቱ የሚታወቅ በአማራነቱና በኢትዮጵያዊ አንድነቱ የማይደራደር ህዝብ ነውደ 🇪🇹🇪🇹 https://t.co/6u5AmkQrug",34,0,154,2,0,,
https://twitter.com/yilkal_kefale/status/1554177821374824458,2022-08-01T18:50:42.000Z,"ይህን ደግ ህዝብ ለማገልገል መመረጥ መታደል ነው። 
ፈጣሪ ለሁላችንም አንድነት ይስጠን።
🇪🇹🇪🇹🇪🇹🙏🙏🙏 https://t.co/u1nJhdQJuW",65,132,426,10,0,,
https://twitter.com/yilkal_kefale/status/1554011518966063105,2022-08-01T07:49:52.000Z,"በሰሜን ወሎ ዞን በ2014 በጀት ዓመት በብዙ ፈተናዎች ውስጥ የተሻለ አፈጻጻም ላስመዘገቡ ወረዳዎች፣ ከተሞች፣ ለዞን ሴክተሮች፣ ቡድን መሪዎችና ባለሙያዎች እውቅና ሰጥተናል። የሚሰሩትን እናበረታታለን።
 🇪🇹🇪🇹🇪🇹 https://t.co/CqFrWwYw66",32,0,132,5,0,,
https://twitter.com/yilkal_kefale/status/1553858859466477568,2022-07-31T21:43:16.000Z,እያቀረብሁ፤ ህብረቱ በኢትዮጵያ እንዲሁም በአማራ ክልል ለሚያከናውነው ሁለንተናዊ ድጋፍ በራሴ እና በክልሉ መንግሥት ስም ላቅ ያለ ምስጋና አቀርባለሁ፡፡ https://t.co/BRsUw4PSeD,11,0,46,1,0,,
https://twitter.com/yilkal_kefale/status/1553858850465480710,2022-07-31T21:43:13.000Z,"ከአውሮፓ ህብረት የምሥራቅ አፍሪካ ልዩ መልዕክተኛ ዶ/ር አኔት ዌበር ጋር ተወያይተናል። 

የአውሮፓ ህብረት በጦርነት የተጎዱ አካባቢዎችን መልሶ ለመገንባትና የተፈናቀሉ ዜጎችን በዘላቂነት ለማቋቋም የሚያደርገውን ድጋፍ አጠናክሮ እንዲቀጥል ጥሪ https://t.co/mLmf5BjUMP",38,1,125,6,0,,
https://twitter.com/yilkal_kefale/status/1553669714467069952,2022-07-31T09:11:40.000Z,"በህብረተሰቡ ተሳትፎ ከ 131 ሚሊዮን ብር በላይ በሆነ ወጭ በደብረታቦር ከተማ የተገነቡ 40 ፕሮጀክቶች ዛሬ ጎብኝተናል።
ግሩም ስራ ነው።

ያሉብንን ችግሮች ከህዝባችን ጎን ሁነን በመነጋገር  ችግሮችን በጋራ በመቅረፍ  ወደፊት እንራመዳለን። 🇪🇹🇪🇹🇪🇹 https://t.co/nk2k47iWxF",31,0,140,4,0,,
